Order ID,Order Date,Region,Product Category,Sales Amount,Quantity Sold,Discount (%),Profit
ab899d2f,2023-04-06,North,Groceries,859.29,44,37,1653.87
73484eb1,2024-04-30,West,Groceries,1546.81,23,33,1932.71
19395924,2024-03-12,East,Groceries,4703.58,31,15,527.47
b3fded3d,2024-02-09,East,Groceries,3377.17,47,3,482.65
6e4bdd51,2024-07-29,South,Clothing,3517.49,6,28,748.72
21d88d69,2023-08-26,East,Furniture,362.55,19,50,314.71
9da2704d,2024-10-07,East,Sports,4811.17,22,18,1372.89
a1bd6815,2023-03-15,West,Electronics,3565.2,22,16,1437.3
0bbd51fc,2023-06-29,East,Clothing,3805.25,19,3,1537.28
8bf7e4b3,2023-03-13,South,Clothing,2178.72,15,24,1696.65
e6cf1255,2024-05-27,West,Groceries,2844.93,34,12,1166.39
3ba1fc5c,2023-12-31,West,Electronics,3600.04,10,2,1632.75
388ff70d,2023-11-09,East,Sports,941.88,13,28,646.49
ce2e9002,2022-12-24,South,Sports,3300.86,1,48,86.9
a4f9a338,2024-02-07,East,Groceries,1081.62,4,19,611.06
eadceaa8,2024-01-27,East,Furniture,3455.67,39,21,208.1
ad7f9de9,2023-06-01,South,Groceries,2381.51,16,39,1083.96
35358e9c,2024-06-28,North,Clothing,2784.79,35,40,999.6
31676338,2023-11-16,South,Clothing,1082.98,8,11,1604.19
05d72e20,2024-09-21,East,Clothing,787.79,47,18,1313.33
68dbe328,2024-10-01,South,Furniture,312.7,36,43,559.52
78d3f47b,2023-05-31,East,Sports,265.32,21,36,595.91
9e4d1fe0,2024-04-18,West,Furniture,1253.64,35,14,1653.66
9215a70e,2024-02-19,West,Clothing,1874.07,28,23,1783.26
54ca3433,2023-04-25,East,Clothing,2561.71,44,10,800.82
0ba75cc7,2023-05-13,West,Sports,1960.74,50,6,1530.61
601860b1,2023-04-21,East,Electronics,2415.44,35,14,335.57
e393e106,2023-12-30,East,Electronics,2284.22,8,41,1866.59
7ab3d472,2022-11-20,West,Sports,2118.55,29,24,702.15
01d9b1ae,2023-11-18,South,Groceries,4803.6,11,12,1086.74
20385cb6,2024-08-29,North,Groceries,4297,17,49,678.7
2bfe58fa,2024-06-06,East,Sports,804.64,43,1,60.68
2800f598,2023-10-29,West,Clothing,2903.83,16,31,27.53
97d3684e,2023-07-07,East,Electronics,3436.78,21,27,75.19
8a0ce327,2024-09-22,South,Electronics,581.5,39,34,863
6ed01fa3,2023-04-02,West,Electronics,1939.1,26,47,1273.29
1c109dd7,2022-12-04,South,Furniture,3252.47,24,4,1643.65
1ebbf879,2023-09-21,North,Clothing,3153.71,2,13,101.03
6e47d6b1,2024-09-03,East,Electronics,322.61,25,39,556.48
4ab76caf,2024-02-27,East,Furniture,2100.47,5,13,1047.83
c2479513,2023-02-08,West,Electronics,2210.87,9,49,1646.08
89554edf,2023-03-04,East,Clothing,2128.58,46,13,1671.36
b032cfa6,2024-10-18,South,Furniture,3242.89,22,7,1746.32
f6d78416,2024-10-15,East,Electronics,229.66,2,2,417.82
20fd2146,2024-03-27,North,Sports,424.59,6,27,1509.87
dfe3e788,2024-01-14,East,Electronics,636.44,30,10,1965.35
2d0684b7,2023-02-22,East,Sports,82.77,3,33,1416.52
86919e9e,2023-11-08,East,Sports,3666.86,42,2,1455.39
422500bb,2024-02-04,East,Groceries,1864.97,35,5,766.36
b73e5c36,2023-10-28,East,Electronics,1992.19,1,43,1273.72
2ebc67f7,2023-05-22,West,Sports,1154.47,41,25,402.81
7ade007e,2024-02-14,South,Electronics,875.31,34,30,1216.75
db5bd71a,2023-11-29,South,Electronics,3395.86,43,11,755.41
d13d939a,2024-11-07,West,Clothing,2559.15,43,4,432.75
048023bf,2022-12-30,North,Groceries,1803.62,5,17,457.27
8a1b0d6f,2023-07-15,North,Electronics,2676.35,43,36,877.09
5a064ebb,2024-06-06,South,Electronics,1696.76,4,34,1342.89
7f4cb54d,2024-08-02,South,Sports,4694.48,43,18,1318.49
ebebbab8,2023-03-07,West,Electronics,72.07,36,36,1470.42
4daf15d5,2023-09-15,West,Sports,3510.15,22,37,313.22
066c7aab,2023-12-16,East,Furniture,1268.99,10,28,1193.02
ad667d66,2023-12-05,West,Electronics,397.75,49,5,335.09
10af4311,2023-09-27,South,Sports,2946.65,45,32,1418.29
4b6a955c,2024-04-01,North,Furniture,3270.98,47,11,1784.1
8406e7a9,2023-12-02,East,Electronics,2968.48,27,47,1340.85
06be581e,2023-07-19,North,Electronics,3430.86,24,11,1885.85
53f197ad,2023-01-15,North,Groceries,2806.15,38,41,1710.11
92458ed3,2023-04-08,North,Furniture,1356.62,2,21,1213.34
76740552,2023-10-02,South,Electronics,2905.8,20,10,1417.43
f92de80d,2023-05-14,South,Furniture,2065.42,22,15,787.51
647ff51a,2023-06-17,East,Clothing,272.88,47,29,1208.68
f8548ec7,2024-10-29,East,Clothing,4126.4,34,13,1690.11
7855a0d2,2023-09-26,North,Furniture,4204.55,49,1,1534.82
bf586512,2023-10-27,West,Clothing,2130.98,7,29,679.16
deea1965,2024-05-24,South,Furniture,1253.28,4,48,317.33
